ID,Субъект РФ,Период (год),план/факт,Главная компания,Недропользователь,№ лицензии,участок,Оценка выполнения лицензионных условий,"ДОБЫЧА УВ СЫРЬЯ. Нефть, млн. т","ДОБЫЧА УВ СЫРЬЯ. Конденсат, млн. т","ДОБЫЧА УВ СЫРЬЯ. Газ (свободный + газовая шапка), млрд. м3","ДОБЫЧА УВ СЫРЬЯ. Попутный газ, млрд. м3","ЗАТРАТЫ НА ГРР. ВСЕГО*, млн. р.","Глубокое бурение. всего, млн. р.","Параметрическое, млн. р.","Поисковое, млн. р.","Разведочное, млн. р.","Сейсморазведка. всего, млн. р.","Сейсморазведка 2Д, млн. р.","Сейсморазведка 3Д, млн. р.","НИОКР, млн. р.","Прочие работы, млн. р.","Глубокое бурение. всего, м","Параметрическое, м","Поисковое, м","Разведочное, м","Закончено строительством поисковых скважин, шт.","Из них продуктивных, шт.","Закончено строительством разведочных скважин, шт.","Прирост запасов УВ категории АВ1C1. Нефть, млн. т","Прирост запасов УВ категории АВ1C1. Нефть за счет ГРР, млн. т","Прирост запасов УВ категории АВ1C1. Нефть за счет переоценки, млн. т","Прирост запасов УВ категории АВ1C1. Конденсат, млн. т","Прирост запасов УВ категории АВ1C1. Конденсат за счет ГРР, млн. т","Прирост запасов УВ категории АВ1C1. Конденсат за счет переоценки, млн. т","Прирост запасов УВ категории АВ1C1. Газ (свободный + газовая шапка), млрд. м3","Прирост запасов УВ категории АВ1C1. Газ за счет ГРР, млрд. м3","Прирост запасов УВ категории АВ1C1. Газ за счет переоценки, млрд. м3","Прирост запасов УВ категории АВ1C1. Нефть на вновь открытых месторождениях, млн. т","Прирост запасов УВ категории АВ1C1. Конденсат на вновь открытых месторождениях, млн. т","Прирост запасов УВ категории АВ1C1. Газ на вновь открытых месторождениях, млрд. м3","Прирост запасов УВ категории В2С2. Нефть, млн. т","Прирост запасов УВ категории В2С2. Нефть за счет ГРР, млн. т","Прирост запасов УВ категории В2С2. Нефть за счет переоценки, млн. т","Прирост запасов УВ категории В2С2. Конденсат, млн. т","Прирост запасов УВ категории В2С2. Конденсат за счет ГРР, млн. т","Прирост запасов УВ категории В2С2. Конденсат за счет переоценки, млн. т","Прирост запасов УВ категории В2С2. Газ (свободный + газовая шапка), млрд. м3","Прирост запасов УВ категории В2С2. Газ за счет ГРР, млрд. м3","Прирост запасов УВ категории В2С2. Газ за счет переоценки, млрд. м3","Прирост запасов УВ категории В2С2. Нефть на вновь открытых месторождениях, млн. т","Прирост запасов УВ катеcomгории В2С2. Конденсат на вновь открытых месторождениях, млн. т","Прирост запасов УВ категории В2С2. Газ на вновь открытых месторождениях, млрд. м3","Нетрадиционные источники УВС. Прирост категории АВ1С1. Сланцевый газ, млрд. м3","Нетрадиционные источники УВС. Прирост категории АВ1С1. Сланцевая нефть, млн. т","Нетрадиционные источники УВС. Прирост категории С2 (В2). Сланцевый газ, млрд. м3","Нетрадиционные источники УВС. Прирост категории С2 (В2). Сланцевая нефть, млн. т","Сейсморазведка 2Д, пог. км","Сейсморазведка 3Д, км2","Подготовлено сейсморазведкой перспективных объектов с ресурсами. Нефть, шт.","Подготовлено сейсморазведкой перспективных объектов с ресурсами. Газ (конденсат), шт.","Выведено (списано) по результатам бурения поисковых объектов. Нефть, шт.","Выведено (списано) по результатам бурения поисковых объектов. Газ (конденсат), шт.","Состояние ресурсов кат. Д0 на 01.01.2023 г. Нефть, млн. т","Состояние ресурсов кат. Д0 на 01.01.2023 г. Газ, млрд. м3","Состояние ресурсов кат. Д0 на 01.01.2023 г. Конденсат, млн. т","Открыто месторождений, всего, шт.","Открыто месторождений, нефтяных, шт.","Открыто месторождений, газовых, шт.","Открыто месторождений, нефтегазовых и газонефтяных, шт.","Открыто месторождений, нефтегазоконденсатных и газоконденсатных, шт.","Подготовлено сейсморазведкой перспективных объектов с ресурсами. Нефть, млн. т","Подготовлено сейсморазведкой перспективных объектов с ресурсами. Газ, млрд. м3","Подготовлено сейсморазведкой перспективных объектов с ресурсами. Конденсат, млн. т","Выведено (списано) по результатам бурения поисковых объектов. Нефть, млн. т","Выведено (списано) по результатам бурения поисковых объектов. Газ, млрд. м3","Выведено (списано) по результатам бурения поисковых объектов. Конденсат, млн. т"
1,ХМАО — Югра,2022,факт,"ООО ""КОМПАНИЯ""",самостоятельная,ХМН 021878 НР,Ледяной,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,ХМАО — Югра,2023,план,"ООО ""КОМПАНИЯ""",самостоятельная,ХМН 021878 НР,Ледяной,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,ХМАО — Югра,2022,факт,"ПАО ""ПП ""НАЗВАНИЕ","ПАО  ""ПП ""НАЗВАНИЕ КОМПАНИИ""",,,,0.0,0.0,0.0,0.0,504.0070131840001,450.85559588,0.0,44.786,406.06959588,0.0,0.0,0.0,23.046696192,30.104721112,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.765,0.72,0.045,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.5329999999999995,-4.659,-0.874,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
4,ХМАО — Югра,2023,план,"ПАО ""ПП ""НАЗВАНИЕ","ПАО  ""ПП ""НАЗВАНИЕ КОМПАНИИ""",,,,0.0,0.0,0.0,0.0,857.6525854969577,794.8597323105209,0.0,42.383417582585984,752.476314727935,0.0,0.0,0.0,29.117804744711997,33.6750484417248,2820.0,0.0,0.0,2820.0,0.0,0.0,1.0,1.0899999999999999,1.0899999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.521,1.521,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
5,ХМАО — Югра,2022,факт,"ПАО ""ПП ""Компания""","ПАО  ""ПП ""Компания""",ХМН 232345 НР,Это-Название,3.0,,,,,3.72723022,0.08259588,,,0.08259588,,,,2.944022152,0.7006121879999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,ХМАО — Югра,2023,план,"ПАО ""ПП ""Компания""","ПАО  ""ПП ""Компания""",ХМН 232345 НР,Это-Название,,,,,,386.801218200521,382.75973231052103,,8.68341758258598,374.076314727935,,,,2.263759739999999,1.77772615,2820.0,,,2820.0,,,1.0,0.367,0.367,,,,,,,,,,,1.521,1.521,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,,2022,факт,"ПАО ""НН ""Фирма""","ПАО  ""НН ""Фирма""",ХМН 16326 НР,Очередной участок,3.0,,,,,500.27978296400005,450.773,,44.786,405.987,,,,20.10267404,29.404108924,,,,,,2.0,2.0,0.765,0.72,0.045,,,,,,,,,,-5.5329999999999995,-4.659,-0.874,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,,2023,план,"ПАО ""НН ""Фирма""","ПАО  ""НН ""Фирма""",ХМН 16326 НР,Очередной участок,,,,,,470.85136729643676,412.09999999999997,,33.7,378.4,,,,26.854045004712,31.897322291724798,,,,,,,,0.723,0.723,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,ХМАО — Югра,2022,факт,"ООО ""ТТК Северо-Обычное""","АО  ""ТТК""",ХМН 03725 НЭ,Северо-Обычное,3.0,0.313,0.026,0.196,0.398,10.672129668000002,0.0,,,,0.0,,,0.6866960520000001,9.985433616000002,0.0,,0.0,0.0,,,,0.0,,,0.0,,,0.0,,,,,,0.0,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,ХМАО — Югра,2023,план,"ООО ""ТТК Северо-Обычное""","АО  ""ТТК""",ХМН 03725 НЭ,Северо-Обычное,,0.319,0.02567486400335227,0.180004598,0.513981767,12.712414800000005,0.0,,,,0.0,,,1.8876,10.824814800000004,0.0,,0.0,0.0,,,,0.0,,,0.0,,,0.0,,,,,,0.0,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,ХМАО — Югра,2022,факт,"ПАО ""КК ""НазваниеОрганизации""","ПАО  ""КК ""НазваниеОрганизации""",ХМН 03309 НЭ,Восточно-Правый,3.0,0.127,,,0.008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,ХМАО — Югра,2023,план,"ПАО ""КК ""НазваниеОрганизации""","ПАО  ""КК ""НазваниеОрганизации""",ХМН 03309 НЭ,Восточно-Правый,,0.0981385826671,,,0.007,6.9536880000000005,,,,,,,,6.9536880000000005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,ХМАО — Югра,2022,факт,"ПАО ""НК ""Организация""","ПАО  ""НК ""Организация""",ХМН 03722 НП,Нижележащие горизонты Восточно-Правого месторождения на Восточно-Правом участке,3.0,,,,,1.4721194499999999,,,,,,,,1.4721194499999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.018,,,,,,,,,,,,,
14,ХМАО — Югра,2023,план,"ПАО ""НК ""Организация""","ПАО  ""НК ""Организация""",ХМН 03722 НП,Нижележащие горизонты Восточно-Правого месторождения на Восточно-Правом участке,,,,,,97.01565139304681,97.01565139304681,,97.01565139304681,,,,,,,200.0,,200.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.018,,,,,,,,,,,,,
15,ХМАО — Югра,2022,факт,"АО ""НазваниеГорода""",КонтораПоДобыче,ХМН 03789 НЭ,Первомайский,3.0,0.164789013,,,0.007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,ХМАО — Югра,2023,план,"АО ""НазваниеГорода""",КонтораПоДобыче,ХМН 03789 НЭ,Первомайский,,0.11945005262861111,,,0.007693,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,ХМАО — Югра,2022,факт,"ООО ""ЛУКОЙЛ-Какойто провинции""","ПАО  ""ЛУКОЙЛ""",ХМН 14450 НР,Южно-Средний,3.0,0.286709688,,,0.021867934000000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.034,,,,,,,,,,,,,
18,ХМАО — Югра,2023,план,"ООО ""ЛУКОЙЛ-Какойто провинции""","ПАО  ""ЛУКОЙЛ""",ХМН 14450 НР,Южно-Средний,,0.27095199999999997,,,0.0221,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.034,,,,,,,,,,,,,
19,ХМАО — Югра,2022,факт,"ООО ""ЛУКОЙЛ-Какойто провинции""","ПАО  ""ЛУКОЙЛ""",ХМН 03189 НР,Южно-Очередной,3.0,,,,,47.488250840000006,41.891250840000005,,41.891250840000005,,,,,5.597,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.892,,,,,,,,,,,,,
20,ХМАО — Югра,2023,план,"ООО ""ЛУКОЙЛ-Какойто провинции""","ПАО  ""ЛУКОЙЛ""",ХМН 03189 НР,Южно-Очередной,,,,,,399.1809756,379.83,,379.83,,,,,12.7509756,6.6,3100.0,,3100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.892,,,,,,,,,,,,,
